id,start_at,end_at,coach_id,capacity,status,notes,created_at,capacity_children,capacity_youth,capacity_adult,capacity_ownbow,capacity_assigned
038c55cc-cf1b-4f21-9780-b4c269a03459,2025-10-04 20:30:00+00,2025-10-04 22:00:00+00,,8,scheduled,,2025-09-23 15:51:43.450015+00,2,4,6,17,3
059249e9-8b2b-4a39-bd23-864fa0995e58,2025-09-20 19:00:00+00,2025-09-20 20:30:00+00,,8,scheduled,,2025-09-11 06:05:13.315225+00,2,4,6,17,3
08b0f280-a115-4bd2-95a3-d5e74e92ded4,2025-09-27 20:30:00+00,2025-09-27 22:00:00+00,,8,scheduled,,2025-09-23 15:51:33.452948+00,2,4,6,17,3
2f75a4ad-e3dd-44d9-8a26-dfab55b378f4,2025-09-26 21:00:00+00,2025-09-26 22:30:00+00,,8,scheduled,,2025-09-23 15:51:33.452948+00,2,4,6,17,3
30694302-4578-4508-aa18-e18f8b620cec,2025-09-13 20:30:00+00,2025-09-13 22:00:00+00,,8,scheduled,,2025-09-10 22:04:40.6619+00,2,4,6,17,3
30a029b5-a5a3-4bae-abaf-217f85f6d0f0,2025-09-14 17:30:00+00,2025-09-14 19:00:00+00,,8,scheduled,,2025-09-10 22:06:15.395675+00,2,4,6,17,3
3a8f8ccb-b3e4-4b6d-ba10-6701c5e2a993,2025-09-20 17:30:00+00,2025-09-20 19:00:00+00,,8,scheduled,,2025-09-11 06:05:13.315225+00,2,4,6,17,3
3bdcbe7a-c0e2-417d-bc98-73c0e297b09f,2025-09-20 16:00:00+00,2025-09-20 17:30:00+00,,8,scheduled,,2025-09-11 06:05:13.315225+00,2,4,6,17,3
428a72a9-0dcd-4dec-9e67-1cab56f7c71a,2025-09-13 19:00:00+00,2025-09-13 20:30:00+00,,8,scheduled,,2025-09-10 22:03:59.386359+00,2,4,6,17,3
48f018d8-4498-4efa-b317-44f2dc9695e4,2025-09-11 21:00:00+00,2025-09-11 22:30:00+00,,8,scheduled,,2025-09-09 17:33:12.752121+00,2,4,6,17,3
6bf755e0-8059-4f8c-ab36-c535a9dcc998,2025-09-14 19:00:00+00,2025-09-14 20:30:00+00,,8,scheduled,,2025-09-10 22:06:50.608816+00,2,4,6,17,3
6cd8b45f-da2d-4ee5-a3c0-1ce081fb97ac,2025-09-21 16:00:00+00,2025-09-21 17:30:00+00,,8,scheduled,,2025-09-11 06:05:13.315225+00,2,4,6,17,3
74711375-88ec-4160-a813-25147a95f623,2025-10-02 21:00:00+00,2025-10-02 22:30:00+00,,8,scheduled,,2025-09-23 15:51:43.450015+00,2,4,6,17,3
769a4500-7978-4053-8f9d-2bb1829760c8,2025-09-28 16:00:00+00,2025-09-28 17:30:00+00,,8,scheduled,,2025-09-23 15:51:33.452948+00,2,4,6,17,3
7f336a61-609e-47ec-a7c4-38e48ff9b4d8,2025-09-21 17:30:00+00,2025-09-21 19:00:00+00,,8,scheduled,,2025-09-11 06:05:13.315225+00,2,4,6,17,3
8084800b-f5c8-461b-96ba-3419dcead13b,2025-10-04 16:00:00+00,2025-10-04 17:30:00+00,,8,scheduled,,2025-09-23 15:51:43.450015+00,2,4,6,17,3
8a7a284c-3010-481f-8f55-dc778e44022c,2025-09-27 19:00:00+00,2025-09-27 20:30:00+00,,8,scheduled,,2025-09-23 15:51:33.452948+00,2,4,6,17,3
8c63369c-ffcb-4bff-a3bc-94962f692f35,2025-10-05 19:00:00+00,2025-10-05 20:30:00+00,,8,scheduled,,2025-09-23 15:51:43.450015+00,2,4,6,17,3
959720b6-776f-479e-a50b-a2cf784c9964,2025-10-05 17:30:00+00,2025-10-05 19:00:00+00,,8,scheduled,,2025-09-23 15:51:43.450015+00,2,4,6,17,3
9bfd24a1-7aa3-4720-ba29-5b67b624b0a1,2025-09-21 19:00:00+00,2025-09-21 20:30:00+00,,8,scheduled,,2025-09-11 06:05:13.315225+00,2,4,6,17,3
a4186c4b-c6b0-47d2-ab86-b5825f1b5a2d,2025-09-25 21:00:00+00,2025-09-25 22:30:00+00,,8,scheduled,,2025-09-23 15:51:33.452948+00,2,4,6,17,3
b0dfc054-52a7-4517-b849-78c3270392a2,2025-10-04 17:30:00+00,2025-10-04 19:00:00+00,,8,scheduled,,2025-09-23 15:51:43.450015+00,2,4,6,17,3
b246c4e2-911d-4a46-beb4-41729b1d61d7,2025-10-05 16:00:00+00,2025-10-05 17:30:00+00,,8,scheduled,,2025-09-23 15:51:43.450015+00,2,4,6,17,3
c2fcc3f5-587e-4e55-aab6-369e4080fc33,2025-09-13 16:00:00+00,2025-09-13 17:30:00+00,,8,scheduled,,2025-09-10 22:02:10.628441+00,2,4,6,17,3
c51e50b8-5573-4799-a529-d0b39bf04ae4,2025-09-28 19:00:00+00,2025-09-28 20:30:00+00,,8,scheduled,,2025-09-23 15:51:33.452948+00,2,4,6,17,3
c9729033-1856-4505-b5bd-65077d06e686,2025-09-28 17:30:00+00,2025-09-28 19:00:00+00,,8,scheduled,,2025-09-23 15:51:33.452948+00,2,4,6,17,3
cdfea789-8047-4202-9936-a34fc0374f38,2025-10-03 21:00:00+00,2025-10-03 22:30:00+00,,8,scheduled,,2025-09-23 15:51:43.450015+00,2,4,6,17,3
e8b28ffc-d7b3-402e-b14e-79f00562e910,2025-09-14 16:00:00+00,2025-09-14 17:30:00+00,,8,scheduled,,2025-09-10 22:05:12.733141+00,2,4,6,17,3
e8d5a8d5-1c33-4f13-b20f-9d63c5867de2,2025-10-04 19:00:00+00,2025-10-04 20:30:00+00,,8,scheduled,,2025-09-23 15:51:43.450015+00,2,4,6,17,3
ee589824-2e05-447f-bc7b-af1fa249f8d5,2025-09-13 17:30:00+00,2025-09-13 19:00:00+00,,8,scheduled,,2025-09-10 22:03:12.816943+00,2,4,6,17,3
eec08ff5-8b1b-4f10-987a-254ab59b500c,2025-09-20 20:30:00+00,2025-09-20 22:00:00+00,,8,scheduled,,2025-09-11 06:05:13.315225+00,2,4,6,17,3
ef58af3d-d618-46f7-a2a0-3e6fd8492b10,2025-09-19 21:00:00+00,2025-09-19 22:30:00+00,,8,scheduled,,2025-09-11 06:05:13.315225+00,2,4,6,17,3
ef7e76ee-8545-428c-88f9-bd91c36e9c75,2025-09-27 17:30:00+00,2025-09-27 19:00:00+00,,8,scheduled,,2025-09-23 15:51:33.452948+00,2,4,6,17,3
f1f0ca3e-408b-47b0-9859-32e333960e92,2025-09-27 16:00:00+00,2025-09-27 17:30:00+00,,8,scheduled,,2025-09-23 15:51:33.452948+00,2,4,6,17,3
faf7ca28-6682-4645-9efe-47d87568d5a0,2025-09-18 21:00:00+00,2025-09-18 22:30:00+00,,8,scheduled,,2025-09-11 06:05:13.315225+00,2,4,6,17,3
fc6f187a-36e2-4740-84a6-375781cc58e4,2025-09-12 21:00:00+00,2025-09-12 22:30:00+00,,8,scheduled,,2025-09-10 16:39:28.517614+00,2,4,6,17,3